hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
5061170,Hotels,Kim Long Hotel,"368 Lý Bôn, Phường Tiền Phong, Thành phố Thái Bình",3.0,29,7.2,0,20.451227,106.333996,,0,0,0,299250.00,VND,King Room,4,1,"City view, Quiet street view",0,0,0,0
5061170,Hotels,Kim Long Hotel,"368 Lý Bôn, Phường Tiền Phong, Thành phố Thái Bình",3.0,29,7.2,0,20.451227,106.333996,,0,0,0,342000.00,VND,Superior Double or Twin Room with City View,2,4,City view,0,0,0,0
5061170,Hotels,Kim Long Hotel,"368 Lý Bôn, Phường Tiền Phong, Thành phố Thái Bình",3.0,29,7.2,0,20.451227,106.333996,,0,0,0,346750.00,VND,King Room,4,2,"City view, Quiet street view",0,0,0,0
5061170,Hotels,Kim Long Hotel,"368 Lý Bôn, Phường Tiền Phong, Thành phố Thái Bình",3.0,29,7.2,0,20.451227,106.333996,,0,0,0,475000.00,VND,Triple Room with City View,1,6,City view,0,0,0,0
5061170,Hotels,Kim Long Hotel,"368 Lý Bôn, Phường Tiền Phong, Thành phố Thái Bình",3.0,29,7.2,0,20.451227,106.333996,,0,0,0,513000.00,VND,Standard King Room,3,2,City view,0,0,0,0
3195179,Hotels,Golden Thai binh Hotel,"716B, Le Thanh Tong, Tran Hung Dao",3.0,82,8.3,0,20.4426321331346,106.327875629067,Cycling,0,0,0,453600.00,VND,Superior Double Room with City View,20,1,"City view, River view, Quiet street view",1,1,0,0
3195179,Hotels,Golden Thai binh Hotel,"716B, Le Thanh Tong, Tran Hung Dao",3.0,82,8.3,0,20.4426321331346,106.327875629067,Cycling,0,0,0,483840.00,VND,Junior Suite with City View,4,2,"City view, River view, Quiet street view",1,1,0,0
3195179,Hotels,Golden Thai binh Hotel,"716B, Le Thanh Tong, Tran Hung Dao",3.0,82,8.3,0,20.4426321331346,106.327875629067,Cycling,0,0,0,486720.00,VND,Standard Double Room with City View,10,2,"City view, Quiet street view",1,1,0,0
3195179,Hotels,Golden Thai binh Hotel,"716B, Le Thanh Tong, Tran Hung Dao",3.0,82,8.3,0,20.4426321331346,106.327875629067,Cycling,0,0,0,504000.00,VND,Superior Double Room with City View,20,2,"City view, River view, Quiet street view",1,1,0,0
3195179,Hotels,Golden Thai binh Hotel,"716B, Le Thanh Tong, Tran Hung Dao",3.0,82,8.3,0,20.4426321331346,106.327875629067,Cycling,0,0,0,538560.00,VND,Superior Twin Room with City View,8,3,"City view, Quiet street view",1,1,0,0
3195179,Hotels,Golden Thai binh Hotel,"716B, Le Thanh Tong, Tran Hung Dao",3.0,82,8.3,0,20.4426321331346,106.327875629067,Cycling,0,0,0,550080.00,VND,Superior Triple Room with City View,8,3,"City view, Quiet street view",1,1,0,0
3195179,Hotels,Golden Thai binh Hotel,"716B, Le Thanh Tong, Tran Hung Dao",3.0,82,8.3,0,20.4426321331346,106.327875629067,Cycling,0,0,0,590976.00,VND,Deluxe Family Room with City View,4,4,"City view, Quiet street view",1,1,0,0
5458776,Hotels,Khách sạn Hoàng Gia,"243 Trần Thái Tông, phường Trần Hưng Đạo, Thái Bình",0.0,16,7.9,0,20.446342,106.32906,,0,0,0,250000.00,VND,Double Room,10,1,City view,0,0,0,0
5458776,Hotels,Khách sạn Hoàng Gia,"243 Trần Thái Tông, phường Trần Hưng Đạo, Thái Bình",0.0,16,7.9,0,20.446342,106.32906,,0,0,0,350000.00,VND,Twin Room,2,4,City view,0,0,0,0
5965733,Hotels,Khách Sạn Hoàng Gia II,"Cầu Báng, Tổ 1, phường Tiền Phong",0.0,5,7.6,0,20.4666121325899,106.324014992729,,0,0,0,300000.00,VND,Deluxe Double Room,20,2,"Quiet street view, Garden view",0,0,0,0
5965733,Hotels,Khách Sạn Hoàng Gia II,"Cầu Báng, Tổ 1, phường Tiền Phong",0.0,5,7.6,0,20.4666121325899,106.324014992729,,0,0,0,400000.00,VND,Standard Twin Room,5,4,"Quiet street view, Garden view",0,0,0,0
5965733,Hotels,Khách Sạn Hoàng Gia II,"Cầu Báng, Tổ 1, phường Tiền Phong",0.0,5,7.6,0,20.4666121325899,106.324014992729,,0,0,0,450000.00,VND,Standard King Room,2,2,"Quiet street view, Garden view",0,0,0,0
5965733,Hotels,Khách Sạn Hoàng Gia II,"Cầu Báng, Tổ 1, phường Tiền Phong",0.0,5,7.6,0,20.4666121325899,106.324014992729,,0,0,0,700000.00,VND,Deluxe King Room,5,2,"Quiet street view, Garden view",0,0,0,0
6678139,Hotels,SOJO Hotel Thai Binh,"Số 7 đường Quang Trung, phường Quang Trung, TP Thái Bình Phường Quang Trung",3.0,3,7.3,0,20.439131,106.329422,"Happy hour, Darts",0,0,0,1071000.00,VND,Double Room,8,2,City view,0,0,0,0
6678139,Hotels,SOJO Hotel Thai Binh,"Số 7 đường Quang Trung, phường Quang Trung, TP Thái Bình Phường Quang Trung",3.0,3,7.3,0,20.439131,106.329422,"Happy hour, Darts",0,0,0,1215000.00,VND,Double Room,8,1,City view,0,1,0,0
6703688,Hotels,Hưng Thành Riverside Hotel,"Tổ 3, phường Hoàng Diệu",0.0,3,7.3,0,20.4549633075678,106.35024696624,,0,0,0,259200.00,VND,Double Room with Balcony,8,2,"City view, Inner courtyard view, Garden view",0,0,0,0
6703688,Hotels,Hưng Thành Riverside Hotel,"Tổ 3, phường Hoàng Diệu",0.0,3,7.3,0,20.4549633075678,106.35024696624,,0,0,0,338400.00,VND,Standard King Room,2,2,"City view, Inner courtyard view",0,0,0,0
6703688,Hotels,Hưng Thành Riverside Hotel,"Tổ 3, phường Hoàng Diệu",0.0,3,7.3,0,20.4549633075678,106.35024696624,,0,0,0,342900.00,VND,King Room with Lake View,2,2,"City view, River view, Lake view, Quiet street view",0,0,0,0
6703688,Hotels,Hưng Thành Riverside Hotel,"Tổ 3, phường Hoàng Diệu",0.0,3,7.3,0,20.4549633075678,106.35024696624,,0,0,0,360000.00,VND,Quadruple Room,1,4,"City view, Inner courtyard view, Garden view",0,0,0,0
5404741,Hotels,Bình Minh Riverside Hotel,"Tổ 13,phường Hoàng Diệu",0.0,20,8.8,0,20.4525395787865,106.354191160019,Water park (additional charge),0,0,0,250000.00,VND,Standard Double Room,6,2,,1,0,0,0
5404741,Hotels,Bình Minh Riverside Hotel,"Tổ 13,phường Hoàng Diệu",0.0,20,8.8,0,20.4525395787865,106.354191160019,Water park (additional charge),0,0,0,300000.00,VND,Economy Double Room,2,2,"City view, Inner courtyard view, Quiet street view, Garden view",1,0,0,0
5404741,Hotels,Bình Minh Riverside Hotel,"Tổ 13,phường Hoàng Diệu",0.0,20,8.8,0,20.4525395787865,106.354191160019,Water park (additional charge),0,0,0,340000.00,VND,Standard Family Room,4,2,"Lake view, Quiet street view, City view, Inner courtyard view, Garden view",1,0,0,0
5404741,Hotels,Bình Minh Riverside Hotel,"Tổ 13,phường Hoàng Diệu",0.0,20,8.8,0,20.4525395787865,106.354191160019,Water park (additional charge),0,0,0,350000.00,VND,Deluxe Double Room,5,2,"City view, Inner courtyard view, Quiet street view, Garden view",1,0,0,0
5404741,Hotels,Bình Minh Riverside Hotel,"Tổ 13,phường Hoàng Diệu",0.0,20,8.8,0,20.4525395787865,106.354191160019,Water park (additional charge),0,0,0,357000.00,VND,Standard Family Room,4,3,"Lake view, Quiet street view, City view, Inner courtyard view, Garden view",1,0,0,0
5404741,Hotels,Bình Minh Riverside Hotel,"Tổ 13,phường Hoàng Diệu",0.0,20,8.8,0,20.4525395787865,106.354191160019,Water park (additional charge),0,0,0,391000.00,VND,Standard Family Room,4,4,"Lake view, Quiet street view, City view, Inner courtyard view, Garden view",1,0,0,0
5404741,Hotels,Bình Minh Riverside Hotel,"Tổ 13,phường Hoàng Diệu",0.0,20,8.8,0,20.4525395787865,106.354191160019,Water park (additional charge),0,0,0,405000.00,VND,Deluxe Family Room,2,2,"City view, Quiet street view, Garden view",1,0,0,0
5404741,Hotels,Bình Minh Riverside Hotel,"Tổ 13,phường Hoàng Diệu",0.0,20,8.8,0,20.4525395787865,106.354191160019,Water park (additional charge),0,0,0,427500.00,VND,Deluxe Family Room,2,3,"City view, Quiet street view, Garden view",1,0,0,0
5404741,Hotels,Bình Minh Riverside Hotel,"Tổ 13,phường Hoàng Diệu",0.0,20,8.8,0,20.4525395787865,106.354191160019,Water park (additional charge),0,0,0,450000.00,VND,Deluxe Family Room,2,4,"City view, Quiet street view, Garden view",1,0,0,0
3704127,Hotels,Khách sạn Quang Anh,Số nhà 23 đường Trần Thủ Độ phường Tiền Phong,0.0,24,7.2,0,20.4615551326429,106.336640684086,,0,0,0,200000.00,VND,Double Room,14,2,,0,0,0,0
3704127,Hotels,Khách sạn Quang Anh,Số nhà 23 đường Trần Thủ Độ phường Tiền Phong,0.0,24,7.2,0,20.4615551326429,106.336640684086,,0,0,0,300000.00,VND,Quadruple Room,3,4,,0,0,0,0
7293054,Hotels,White Palace 2,34 Đốc Nhưỡng,0.0,,,0,20.446212157285,106.334774741138,Cycling,0,0,0,277200.00,VND,Deluxe Twin Room,4,2,,1,0,0,0
6678095,Hotels,SOJO Hotel Nam Dinh,"272 đường Trần Hưng Đạo, phường Bà Triệu, TP Nam Định",3.0,6,8.8,0,20.428884,106.173902,"Happy hour, Darts",0,0,0,1071000.00,VND,Double Room,20,2,City view,0,0,0,0
6678095,Hotels,SOJO Hotel Nam Dinh,"272 đường Trần Hưng Đạo, phường Bà Triệu, TP Nam Định",3.0,6,8.8,0,20.428884,106.173902,"Happy hour, Darts",0,0,0,1215000.00,VND,Double Room,20,1,City view,0,1,0,0
6678095,Hotels,SOJO Hotel Nam Dinh,"272 đường Trần Hưng Đạo, phường Bà Triệu, TP Nam Định",3.0,6,8.8,0,20.428884,106.173902,"Happy hour, Darts",0,0,0,2430000.00,VND,Double Room,20,2,City view,0,1,0,0
